id,language,value,Chai,description,latitude,longitude,genus,family,Form,In Script,Script_Form
rse,Romani (Sepecides),1,1,Words derived from Sinitic cha,38.25,27,Indic,Indo-European,,,Variant of cha/chai
Romanian,Romanian,1,0,,46,25,,Indo-European,ceai,ceai,ceai
rmc,Romansch,2,2,Words derived from Min Nan Chinese te,46.66666667,9.166666667,Romance,Indo-European,,te,te
rus,Russian,1,0,Words derived from Sinitic cha,56,38,Slavic,Indo-European,t͡ʃəj,чай,чай (t͡ʃəj)
sno,Saami (Northern),2,2,Words derived from Min Nan Chinese te,69,24,Saami,Uralic,chai,,Variant of te
Sakha,Sakha,1,0,,62,130,,Turkic,čey,цаай,цаай (čey)
ShuigenCentralSandong,Sandong,,,,25.724479,107.92172,,Tai-Kadai,ȶa²,,
san,Sango,1,1,Words derived from Sinitic cha,5,18,Ubangi,Niger-Congo,,,Variant of cha/chai
Sangtam,Sangtam,,,,25.0667,94.8667,,Sino-Tibetan,sing◦va,,
Sani,Sani,,,,24.77179693,103.290785,,Sino-Tibetan,lɑ²,,
SanniSanie,Sanni (Sanie),,,,25.04887917,102.6362707,,Sino-Tibetan,lo̱⁵⁵,,
Saramaccan,Saramaccan,2,2,,4.5,-55.5,,Indo-European,té,tii,tii
scr,Serbian-Croatian,1,0,Words derived from Sinitic cha,44,19,Slavic,Indo-European,chai,čaj,čaj
ses,Sesotho,2,2,Words derived from Min Nan Chinese te,-28,27,Bantoid,Niger-Congo,,tee,tee
SeychellesCreole,Seychelles Creole,,,,-4.75,55.5,,Indo-European,bwar,,
She,She,,,,26.264261,110.096988,,Hmong-Mien,kʰi⁵³,,
Shenyang,Shenyang,,,,41.8049906,123.1563167,,Sino-Tibetan,tsʰa³⁵,,
ssh,Shinassha,1,1,Words derived from Sinitic cha,10.41666667,36.16666667,North Omotic,Afro-Asiatic,,,Variant of cha/chai
Shuizhuping,Shuizhuping,,,,24.73,98.9,,Sino-Tibetan,la²¹pʰɛ⁵³,,
sdh,Sindhi,1,1,Words derived from Sinitic cha,26,69,Indic,Indo-European,chah,چانھ‎,چانھ‎ (chah)
snh,Sinhala,2,2,Words derived from Min Nan Chinese te,7,80.5,Indic,Indo-European,te,තේ,තේ (te)
sms,Skolt Sami,,,,68.83,29.72,,Uralic,t͡ʃeːɐ,,
svk,Slovak,1,0,Words derived from Sinitic cha,49,20,Slavic,Indo-European,t͡ʃaj,čaj,čaj
slo,Slovene,1,0,Words derived from Sinitic cha,46,15,Slavic,Indo-European,t͡ʃa˨ːj,čaj,čaj
Sodi,Sodi,,,,26.65502606,102.2446829,,Sino-Tibetan,la̱⁵⁵,,
som,Somali,1,1,Words derived from Sinitic cha,3,45,Lowland East Cushitic,Afro-Asiatic,shaah,shaah,shaah
snn,Soninke,3,3,Others,15,-10.5,Western Mande,Mande,,,Other Variant
sma,Southern Sami,,,,64.25,12.6,,Uralic,løːβjɛ,,
spa,Spanish,2,2,Words derived from Min Nan Chinese te,40,-4,Romance,Indo-European,te,té,té
